Date,Open,High,Low,Close,Adj Close,Volume
2021-09-21,1710.000000,1765.500000,1681.405029,1758.724976,1757.168213,3846940
2021-09-22,1758.905029,1778.000000,1750.500000,1761.474976,1759.915771,2569820
2021-09-23,1778.750000,1875.000000,1768.204956,1850.385010,1848.747070,7125510
2021-09-24,1859.994995,1881.300049,1831.739990,1852.599976,1850.960083,3731750
2021-09-27,1857.000000,1874.760010,1793.005005,1803.109985,1801.513916,4071680
2021-09-28,1818.500000,1818.599976,1743.010010,1755.035034,1753.481445,3220580
2021-09-29,1749.880005,1764.790039,1730.780029,1743.375000,1741.831909,3097120
2021-09-30,1750.000000,1785.994995,1741.219971,1778.675049,1777.100586,3430000
2021-10-01,1773.604980,1773.604980,1705.000000,1717.780029,1716.259521,4326770
2021-10-04,1735.994995,1793.599976,1730.099976,1780.619995,1779.043823,4013250
2021-10-05,1775.400024,1795.000000,1752.500000,1784.750000,1783.170288,2681630
2021-10-06,1797.400024,1814.555054,1755.795044,1761.660034,1760.100708,3004210
2021-10-07,1780.000000,1788.000000,1742.500000,1747.025024,1745.478638,2241000
2021-10-08,1762.000000,1774.050049,1746.000000,1754.944946,1753.391479,1522380
2021-10-11,1766.564941,1804.500000,1760.699951,1771.395020,1769.827026,2340900
2021-10-12,1771.395020,1847.500000,1763.099976,1822.265015,1820.651978,4545920
2021-10-13,1835.500000,1857.489990,1814.859985,1818.824951,1817.214966,3183880
2021-10-14,1835.000000,1854.000000,1821.510010,1848.890015,1847.253418,1968050
2021-10-18,1885.000000,1910.000000,1855.280029,1867.795044,1866.141724,2939480
2021-10-19,1900.000000,1932.500000,1860.050049,1907.655029,1905.966431,3878460
2021-10-20,1906.300049,1906.300049,1840.425049,1860.319946,1858.673340,2247980
2021-10-21,1878.800049,1878.930054,1834.670044,1857.959961,1856.315430,1925330
2021-10-22,1860.000000,1925.055054,1855.000000,1865.814941,1864.163330,5053300
2021-10-25,1870.000000,1894.699951,1800.000000,1808.714966,1807.113892,3018040
2021-10-26,1820.000000,1845.000000,1797.505005,1835.334961,1833.710327,2967490
2021-10-27,1859.900024,1859.900024,1777.000000,1801.199951,1799.605591,3253010
2021-10-28,1801.199951,1837.204956,1780.199951,1798.770020,1797.177734,3425500
2021-10-29,1798.770020,1817.400024,1713.954956,1782.114990,1780.537476,3205360
2021-11-01,1790.000000,1798.000000,1717.099976,1756.569946,1755.015137,3849290
2021-11-02,1765.000000,1789.489990,1739.255005,1754.260010,1752.707153,2719290
2021-11-03,1757.969971,1775.474976,1744.910034,1750.944946,1749.395020,1838020
2021-11-04,1765.000000,1775.000000,1750.000000,1759.400024,1757.842651,315060
2021-11-08,1765.089966,1839.295044,1751.500000,1831.974976,1830.353271,3161990
2021-11-09,1832.000000,1847.500000,1808.000000,1817.250000,1815.641479,1980870
2021-11-10,1814.250000,1837.500000,1800.250000,1832.614990,1830.992798,1784330
2021-11-11,1825.000000,1835.000000,1781.000000,1787.135010,1785.552979,2155580
2021-11-12,1813.500000,1834.900024,1792.505005,1827.380005,1825.762451,2078020
2021-11-15,1827.500000,1834.500000,1800.000000,1813.050049,1811.445190,1704610
2021-11-16,1823.000000,1851.099976,1811.875000,1820.974976,1819.363159,2189550
2021-11-17,1818.500000,1842.000000,1811.189941,1825.540039,1823.924072,1461000
2021-11-18,1825.599976,1847.199951,1781.119995,1792.125000,1790.538696,2745560
2021-11-22,1814.000000,1814.000000,1683.005005,1707.375000,1705.863647,3707000
2021-11-23,1688.000000,1743.785034,1675.724976,1736.810059,1735.272705,2513150
2021-11-24,1743.199951,1764.699951,1714.040039,1740.869995,1739.328979,2740240
2021-11-25,1734.900024,1752.199951,1722.525024,1736.885010,1735.347534,1616200
2021-11-26,1720.000000,1723.719971,1661.000000,1668.255005,1666.778320,3424860
2021-11-29,1667.000000,1709.800049,1627.364990,1689.040039,1687.544922,3042180
2021-11-30,1688.000000,1750.000000,1688.000000,1723.734985,1722.209106,4586420
2021-12-01,1744.400024,1754.670044,1720.099976,1738.295044,1736.756348,2383490
2021-12-02,1740.000000,1789.000000,1727.344971,1775.814941,1774.243042,2138810
